"No.","Time","Source","Destination","Protocol","Length","Info"
"57","36.145125","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104443 Ack=1734984623 Win=17515 Len=0"
"58","36.146562","131.243.1.10","142.164.6.70","FTP","85","Response: 257 ""/"" is current directory."
"59","39.171420","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984623 Ack=1166104474 Win=8590 Len=0"
"60","40.901746","142.164.6.70","131.243.1.10","FTP","60","Request: NOOP"
"61","40.902148","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104474 Ack=1734984629 Win=17514 Len=0"
"62","40.903460","131.243.1.10","142.164.6.70","FTP","84","Response: 200 NOOP command successful."
"63","45.447171","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984629 Ack=1166104504 Win=8560 Len=0"
"64","45.923166","142.164.6.70","131.243.1.10","FTP","61","Request: CWD /"
"65","45.923730","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104504 Ack=1734984636 Win=17513 Len=0"
"66","45.925519","131.243.1.10","142.164.6.70","FTP","83","Response: 250 CWD command successful."
"67","51.402092","142.164.6.70","131.243.1.10","FTP","62","Request: TYPE A"
"68","51.402425","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104533 Ack=1734984644 Win=17512 Len=0"
"69","51.403882","131.243.1.10","142.164.6.70","FTP","74","Response: 200 Type set to A."
"70","55.999861","142.164.6.70","131.243.1.10","FTP","78","Request: PORT 142,164,6,70,5,35"
"71","56.000259","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104553 Ack=1734984668 Win=17495 Len=0"
"72","56.001554","131.243.1.10","142.164.6.70","FTP","84","Response: 200 PORT command successful."
"73","60.056272","142.164.6.70","131.243.1.10","FTP","60","Request: LIST"
"74","60.056711","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104583 Ack=1734984674 Win=17514 Len=0"
"75","64.109266","131.243.1.10","142.164.6.70","FTP","109","Response: 150 Opening ASCII mode data connection for file list."
"76","64.189791","131.243.1.10","142.164.6.70","FTP","78","Response: 226 Transfer complete."
"77","67.855524","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984674 Ack=1166104662 Win=8426 Len=0"
"78","88.957364","142.164.6.70","131.243.1.10","FTP","59","Request: PWD"
"79","88.957681","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104662 Ack=1734984679 Win=17515 Len=0"
"80","88.959323","131.243.1.10","142.164.6.70","FTP","85","Response: 257 ""/"" is current directory."
"81","93.706433","142.164.6.70","131.243.1.10","FTP","71","Request: CWD acld.tar.gz"
"82","93.706825","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104693 Ack=1734984696 Win=17503 Len=0"
"83","93.708669","131.243.1.10","142.164.6.70","FTP","88","Response: 550 acld.tar.gz: Not a directory"
"84","98.668446","142.164.6.70","131.243.1.10","FTP","75","Request: CWD arpwatch.tar.gz"
"85","98.669140","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104727 Ack=1734984717 Win=17499 Len=0"
"86","98.671042","131.243.1.10","142.164.6.70","FTP","92","Response: 550 arpwatch.tar.gz: Not a directory"
"87","98.690348","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984717 Ack=1166104765 Win=8337 Len=0"
"88","101.746456","142.164.6.70","131.243.1.10","FTP","75","Request: CWD bootbootp.tar.Z"
"89","101.746833","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104765 Ack=1734984738 Win=17499 Len=0"
"90","101.748627","131.243.1.10","142.164.6.70","FTP","92","Response: 550 bootbootp.tar.Z: Not a directory"
"91","105.078090","73.6.91.115","131.243.2.12","TCP","62","2027  >  21 [SYN] Seq=4190971401 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
